Method,Prompt,Stance,F1 score,Sensitivity,Specificity
GPT 3.5,0,positive,0.3435,0.4966,0.6639
GPT 3.5,0,neutral,0.5354,0.3975,0.75
GPT 3.5,0,negative,0.2734,0.7143,0.7571
GPT 3.5,1,positive,0.3959,0.5238,0.7295
GPT 3.5,1,neutral,0.5381,0.3904,0.8265
GPT 3.5,1,negative,0.2508,0.7959,0.685
GPT 3.5,3,positive,0.2951,0.1837,0.9852
GPT 3.5,3,neutral,0.8619,0.9287,0.352
GPT 3.5,3,negative,0.3115,0.3878,0.9237
GPT 3.5,4,positive,0.3668,0.2857,0.9344
GPT 3.5,4,neutral,0.8345,0.8538,0.449
GPT 3.5,4,negative,0.3066,0.4286,0.9054
GPT 4,0,positive,0.4701,0.4014,0.9262
GPT 4,0,neutral,0.8339,0.8146,0.602
GPT 4,0,negative,0.3473,0.5918,0.8743
GPT 4,1,positive,0.5249,0.3946,0.9738
GPT 4,1,neutral,0.8846,0.8948,0.6327
GPT 4,1,negative,0.4557,0.7347,0.8969
GPT 4,5,positive,0.5628,0.4422,0.9689
GPT 4,5,neutral,0.8789,0.9055,0.5561
GPT 4,5,negative,0.4094,0.5306,0.9266
GPT 3.5,5,positive,0.3612,0.2789,0.9361
GPT 3.5,5,neutral,0.8358,0.8574,0.4439
GPT 3.5,5,negative,0.2647,0.3673,0.9025
GPT 3.5,6,positive,0.3836,0.2857,0.9508
GPT 3.5,6,neutral,0.8406,0.8645,0.449
GPT 3.5,6,negative,0.3121,0.449,0.9011
GPT 3.5,7,positive,0.3604,0.2721,0.9426
GPT 3.5,7,neutral,0.6977,0.5882,0.7194
GPT 3.5,7,negative,0.2428,0.8571,0.6398
GPT 3.5,8,positive,0.3594,0.3129,0.8967
GPT 3.5,8,neutral,0.8172,0.8289,0.4286
GPT 3.5,8,negative,0.25,0.3061,0.9209
Amazon Mturk,NA,positive,0.4342,0.449,0.8506
Amazon Mturk,NA,neutral,0.8398,0.8645,0.441
Amazon Mturk,NA,negative,0.0755,0.0417,0.9958
GPT 4,3,positive,0.3892,0.2449,0.9967
GPT 4,3,neutral,0.8895,0.9444,0.4898
GPT 4,3,negative,0.4493,0.6327,0.9177
GPT 4,4,positive,0.5339,0.4014,0.9754
GPT 4,4,neutral,0.886,0.9216,0.5459
GPT 4,4,negative,0.4444,0.5714,0.9308
GPT 4,6,positive,0.5,0.381,0.9656
GPT 4,6,neutral,0.8816,0.9162,0.5357
GPT 4,6,negative,0.4355,0.551,0.9322
GPT 4,7,positive,0.484,0.3605,0.9689
GPT 4,7,neutral,0.8906,0.943,0.5
GPT 4,7,negative,0.4486,0.4898,0.952
GPT 4,8,positive,0.5771,0.4966,0.9459
GPT 4,8,neutral,0.8868,0.9073,0.602
GPT 4,8,negative,0.5133,0.5918,0.9506
Mistral,0,positive,0.4333,0.3537,0.9325
Mistral,0,neutral,0.8068,0.767,0.6173
Mistral,0,negative,0.3382,0.7143,0.8255
Mistral,1,positive,0.3802,0.3129,0.9193
Mistral,1,neutral,0.8097,0.7814,0.5765
Mistral,1,negative,0.3704,0.7143,0.8511
Mistral,3,positive,0.3689,0.3061,0.9143
Mistral,3,neutral,0.7616,0.7043,0.5867
Mistral,3,negative,0.3448,0.8163,0.7972
Mistral,4,positive,0.3774,0.3401,0.888
Mistral,4,neutral,0.7033,0.6075,0.6582
Mistral,4,negative,0.3082,0.8776,0.7348
Mistral,5,positive,0.3574,0.3197,0.8863
Mistral,5,neutral,0.6779,0.5771,0.6429
Mistral,5,negative,0.278,0.8367,0.7092
Mistral,6,positive,0.3307,0.2857,0.8929
Mistral,6,neutral,0.6948,0.6057,0.6071
Mistral,6,negative,0.2989,0.8571,0.7305
Mistral,7,positive,0.3942,0.4626,0.7858
Mistral,7,neutral,0.6795,0.5681,0.7041
Mistral,7,negative,0.2957,0.6939,0.7915
Mistral,8,positive,0.4045,0.3673,0.8913
Mistral,8,neutral,0.74,0.6631,0.6327
Mistral,8,negative,0.3402,0.8367,0.7858
